Country-Name,Country-Code,Indicator-Name,Indicator-Code,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,,,,,,,,,,,
Sub-Saharan Africa,SSF,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,56.98193359,56.98193359,56.98193359,56.98193359,56.98193359,56.98193359,56.98193359,56.98193359,56.98193359,56.98193359,60.88054657,60.88054657,60.88054657,60.88054657,60.88054657,60.88054657,60.88054657,60.88054657,60.88054657,60.88054657,,,,,,,,,,,,
Upper middle income,UMC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,81.91884613,81.91884613,81.91884613,81.91884613,81.91884613,81.91884613,81.91884613,81.91884613,81.91884613,81.91884613,90.65731049,90.65731049,90.65731049,90.65731049,90.65731049,90.65731049,90.65731049,90.65731049,90.65731049,90.65731049,94.26898956,94.26898956,94.26898956,94.26898956,94.26898956,94.26898956,94.26898956,94.26898956,94.26898956,94.26898956,,,,,,,,,,,,
World,WLD,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,75.8967514,75.8967514,75.8967514,75.8967514,75.8967514,75.8967514,75.8967514,75.8967514,75.8967514,75.8967514,81.90046692,81.90046692,81.90046692,81.90046692,81.90046692,81.90046692,81.90046692,81.90046692,81.90046692,81.90046692,85.31338501,85.31338501,85.31338501,85.31338501,85.31338501,85.31338501,85.31338501,85.31338501,85.31338501,85.31338501,,,,,,,,,,,,
Aruba,ABW,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.29125214,,,,,,,,,,96.82263947,,,,,97.52420044,,,,,,,,,,,
Afghanistan,AFG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,18.15768051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.74111748,,,,38.16804123,,,,,,,,,,,
Angola,AGO,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4054184,,,,,,,,,,,,,70.99108887,71.16416168,,,,,,,,,,,
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.71298218,,,,,,,95.93863678,,,96.84529877,97.24697113,,,97.55390167,,,,,,,,,,,
Andorra,AND,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,53.51488113,,,,,,,,,,71.23529816,,,,,,,,,,,,,,,,,,,,90.03385162,,,,,,,,,,92.98636627,,,,,,,,,,,
Argentina,ARG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,93.91285706,,,,,,,,,,,96.12819672,,,,,,,,,,97.1933136,,,,,,,,,,,,,98.03401947,98.08997345,,,,,,,,,,,
Armenia,ARM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,98.75196075,,,,,,,,,,,,99.40016174,,,,,,,,,,99.74440765,,,,99.76841736,,,,,,,,,,,
American Samoa,ASM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,97.34416199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.94999695,,,,,,,,,,,,,98.94999695,,,,,,,,,,,,
Australia,AUS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.79180145,,,,,,,,99.60191345,,99.75984192,99.77114105,99.77863312,99.77577209,99.78936005,99.78898621,99.8052597,,,,,,,,,,,
Burundi,BDI,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,22.50855064,,,,,,,,,,,37.38471985,,,,,,,,,,59.30361938,,,,,,,,86.94786835,,,,,,,85.49609375,,,,,,,,,,,
Belgium,BEL,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,16.48278999,,,,,,,,,,,,,27.2452507,,,,,,,,,,34.65784836,,,,28.70211029,,,,,,,,,38.44713974,,,,,,,,,,,
Burkina Faso,BFA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,8.685150146,,,,,,,,,,,,,,,,13.56923008,,,,,12.84817028,,,,,,,21.82291985,,23.55372047,22.47257996,28.7292099,,,,,,,34.59941101,37.74670029,,,,,,,,,,,
Bangladesh,BGD,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,29.22723007,,,,,,,,,,35.31930161,,,,,,,,,,47.48550034,,,,,,,,,,,,,60.5752182,61.49383163,,,,,,,,,,,
Bulgaria,BGR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.20355988,,,,,,,,,,98.35244751,,,,98.38858032,,,,,,,,,,,
Bahrain,BHR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,69.75350952,,,,,,,,,,84.01383209,,,,,,,,,,86.54873657,,,,,,,,,94.55679321,,,,,95.71726227,,,,,,,,,,,
"Bahamas, The",BHS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,87.82250977,,,,,,,,,96.6631012,,,,,,,,,,,,,,98.3776474,98.48576355,,,,,,,,,,,
Belarus,BLR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,97.88336945,,,,,,,,,,99.59072876,,,,,,,,,,99.6170578,,,,,,99.72203827,,,,,,,,,,,
Belize,BLZ,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,70.29842377,,,,,,,,,,,,,,,,,,,,,,,,82.77681732,,,,,,,,,,,
Bermuda,BMU,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,63.20814896,,,,,,,,,,,,,,,,79.99176788,,,,,,,,,86.72367096,,,,,,90.74346924,90.69811249,91.16783142,,92.22615051,94.46057129,,,95.141922,,,,,,,,,,,
Brazil,BRA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,74.58673096,,,,,,,,,,,,,,,,,,,,86.36788177,,,,88.61624146,,89.61522675,90.0093689,90.03662109,90.29821014,90.37918091,91.41123962,91.33785248,91.48423767,,92.58680725,,,,,,,,,,,
Barbados,BRB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,99.26808167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,77.83421326,,,,,,,,,,87.80417633,,,,,,,,,,92.67112732,,,,,,,,,,96.08556366,,,,96.65653229,,,,,,,,,,,
Bhutan,BTN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.81468964,,,,,,,57.03359985,,,63.90681839,,,,,,,,,,,
Botswana,BWA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,68.58090973,,,,,,,,,,,,81.18871307,,,,,,,,,,,87.7075119,88.22441101,,,,,,,,,,,
Central African Republic,CAF,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,18.23616982,,,,,,,,,,,,,33.62442017,,,,,,,,,,,,50.6451683,,,,,,,,,,36.75260925,,,,,36.75260925,,,,,,,,,,,
Canada,CAN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,91.12840271,,,,,,,,,,94.2911377,,,,,,,,,,95.7166214,,,,,,98.6490097,98.55368042,,96.70301056,,96.27068329,,96.62754822,,,,,,,,,,,
China,CHN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,65.50508881,,,,,,,,77.78505707,,,,,,,,,,90.92021179,,,,,,,,,,95.1244812,,,,,96.35745239,,,,,,,,,,,
Cote d'Ivoire,CIV,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,34.13927841,,,,,,,,,,36.3502388,,48.7407608,,,,,,,,,,,,40.98162842,,,43.26531982,,,,,,,,,,,
Cameroon,CMR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,41.21620941,,,,,,,,,,,,,,,,,,,,,,,,68.4091568,,,,,,,70.67993927,,,71.29051208,,,,,74.98558044,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.17298889,,,,,,61.20555115,,,,,75.01718903,,,77.22167206,,,,,,,,,,,
"Congo, Rep.",COG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.31117249,,,,79.31117249,,,,,,,,,,,
Colombia,COL,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,91.06308746,,,91.20716095,,,,,,,,92.8037796,92.84866333,92.29968262,92.6517868,93.37818146,93.24468994,93.37232971,93.58052826,,,94.18345642,94.57705688,,,,,,,,,,,
Comoros,COM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,47.91923141,,,,,,,,,,,,,,,,,,,,68.48922729,,,,,,,,,,,,,,77.57327271,78.13739014,,,,,,,,,,,
Cabo Verde,CPV,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,62.79685974,,,,,,,,,,,,,,80.01972198,,,,,,,,85.32778931,,,88.46542358,,,,,,,,,,,
Costa Rica,CRI,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,92.62904358,,,,,,,,,,,,,,,,94.86818695,,,,,,,,,,,97.40657806,,,,97.64724731,,,,,,,,,,,
Cuba,CUB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,97.84664917,,,,,,,,,,,,,,,,,,,,,99.79907227,,,,,,,,,,99.75253296,,,99.71071625,,,,,,,,,,,
Curacao,CUW,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.86782074,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,94.36247253,,,,,,,,,96.80362701,,,,,,,,,,98.67842865,,,,99.05977631,,,,,,,,,,,
Czech Republic,CZE,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,73.06456757,,,,,,,,,,,,,,,,,,,,,86.99646759,,,,,88.24446106,,,89.53872681,90.10626984,90.15518188,90.85814667,91.76377106,92.46542358,,,,,,,,,,,
Algeria,DZA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,49.63087845,,,,,,,,,,,,,,,69.87349701,,,,72.64868164,,75.13604736,,,,,,,79.60839844,,,,,,,,,,,
Ecuador,ECU,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,83.5526886,,,,,,,,88.29875946,,,,,,,,,,,90.98403168,,,,,,84.19271851,,84.20696259,91.85404205,91.5868988,92.06472778,93.29463196,94.22264862,94.51547241,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,38.19675827,,,,,,,,,,44.42398834,,,,,,,,,,55.5870018,,,,,,,,,71.40885925,66.36991119,,,,72.04785156,,73.86559296,75.06072998,,75.84262085,,,,,,,,,,,
Eritrea,ERI,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.51395035,,,,,,,,,,,,72.7904892,73.84525299,,,,,,,,,,,
Spain,ESP,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,92.80976868,,,,,,,,,,96.49497223,,,,,,,,,,,,,97.16512299,97.75068665,,97.93884277,97.6306076,97.67926788,97.74890137,97.78375244,97.89453888,98.07913208,98.09397888,98.11450958,,,,,,,,,,,
Estonia,EST,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,99.72644043,,,,,,,,,,,99.76719666,,,,,,,,,,,99.88578796,,,,99.82350922,,,,,,,,,,,
Ethiopia,ETH,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,27.01136017,,,,,,,,,,35.90000153,29.8203392,,38.99597931,,,,,,,,49.03152084,,,,,,,,,,,
Finland,FIN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
